,p11,p13,p21,p23,market share,competitor share
8578,0.27653885183798965,0.5912383867900826,0.010612916185900323,0.5998847671185882,0.12455948702092838,0.036340521070900855
8579,0.4122397247380617,0.12274098324603701,0.4747469747322546,0.3091551533684791,0.7958383778202982,0.039382536215932275
8580,0.27904890747395517,0.6423234006111093,0.33561681736344084,0.278808732522477,0.026988654274196378,0.538825731184092
8581,0.5177955521250494,0.3103494636406052,0.9866168689865482,0.012549813727222974,0.00034848205655623577,0.9926255481857413
8582,0.1558726744600093,0.8232127236268466,0.12937800320587733,0.26037223889173394,0.032235238381107686,0.21727549161492493
8583,0.3496609932401369,0.5801181763638568,0.5895142746783997,0.38257907648508627,0.021721599128519224,0.627937976929295
8584,0.9877020878084943,0.04204633026278954,0.013435902267857514,0.5507618679255895,0.9759201046160703,0.0005907316562486623
8585,0.009224917889234074,0.38046174613426076,0.7129724507845855,0.2089372049914158,0.005750769677888642,0.834740660926701
8586,0.28596308073854637,0.5647788003725309,0.8690536479464879,0.04843374936991142,0.0010344760248640025,0.9682181976631257
8587,0.7567237454464604,0.14719846091174432,0.869850360058097,0.10800022088358614,0.015433926975773126,0.916425288555765
8588,0.6240527956409703,0.3414494996007269,0.7545735273429532,0.05598858075410356,0.0035843272440925175,0.9553984037715136
8589,0.22666623614348347,0.3567890102046767,0.023159542039941305,0.9074912153839244,0.2672599889142328,0.020658097522110678
8590,0.3811671826361981,0.11193964372854556,0.36507570054258587,0.5772557145689442,0.8308933748800184,0.009862426139015647
8591,0.2619474216696772,0.21549241572769126,0.3044635537697955,0.48186810302646743,0.5252303298785916,0.04978155702231527
8592,0.9767386781701978,0.0690740694780081,0.7136862457715649,0.07418694621881239,0.9563162496313873,0.004932898154782998
8593,0.953793023117695,0.09518521456502518,0.9933774262289058,0.00020899639320572002,0.0008544382524070243,0.998983470994509
8594,0.26895805963392894,0.5809710586501683,0.9626154410409842,0.005693084820357756,9.916117859181994e-05,0.9966308315985395
8595,0.19482848724844304,0.55226293378325,0.5686711530415002,0.22620755200803083,0.00927731307008153,0.7750159907369033
8596,0.5800341339461279,0.20929704215468825,0.022280709723515257,0.7307605967458379,0.7983605197923982,0.005588129431660952
8597,0.666596831865667,0.11251765156326968,0.4827372621442714,0.49106388909239884,0.9015207594720571,0.005622276566635882
8598,0.06567538811438467,0.46239005437625214,0.7327126977788223,0.23021425369863024,0.006032175376013263,0.8225736385966896
8599,0.09824432482496137,0.2196541515095062,0.9716119851656415,0.013593118450584054,0.00025731699644886716,0.9920519047304147
8600,0.8844858706767686,0.10119655449635903,0.0442153978501455,0.006868832547380932,0.9349223935481447,0.002744437862654813
8601,0.2545245992810474,0.5731888730208703,0.015563046895577637,0.6843766466989699,0.11828302371171072,0.03276375794659385
8602,0.19590255203263807,0.32993008811311786,0.26300156784350714,0.4524594089932452,0.17673110906360176,0.1413128080242453
8603,0.015002219453388532,0.36625632492531457,0.5090565823521076,0.17194398339154712,0.00790227493680597,0.8105616550688628
8604,0.37615891018430836,0.49750072229926434,0.9678415629038908,0.0014787832274553874,2.999643810223975e-05,0.9991250366649356
8605,0.11677063173723734,0.8820533071414652,0.5532444026572167,0.3686559075307868,0.010466412032852139,0.6301972908160469
8606,0.7796942969946332,0.21663594324779992,0.4532336913188896,0.15057298722905896,0.8323637296919745,0.01725292503639468
8607,0.2622669092295833,0.413099440516122,0.09581335399549962,0.03766097311913034,0.02477449818112546,0.7730511606522428
8608,0.6366243699710349,0.19670615959911028,0.7983837987571686,0.0013428681042317347,9.677536945154647e-05,0.9989751543890101
8609,0.9596778015490669,0.06510033105525764,0.7459677519156861,0.011590510974625686,0.9557683526342551,0.0073135373843466875
8610,0.870509059892072,0.12408258459786309,0.6256365892530955,0.33255080254343133,0.9152090062200248,0.006200046188228635
8611,0.5156047961154943,0.27644866989328487,0.017562388221361136,0.810817624956232,0.7029450868244449,0.00800595374004877
8612,0.3604932153282443,0.3084058770262058,0.6348196170829472,0.356103057725605,0.03344874559150905,0.6658015602823492
8613,0.12746167130552033,0.4106697328555642,0.7003833762191063,0.2213911145314519,0.007076713717641712,0.8208108990125212
8614,0.4270077555523064,0.3752496672348642,0.6257777228757365,0.13487368193788335,0.00877259135330431,0.873381460458345
8615,0.6540430889471871,0.15628347112886676,0.8210364624971218,0.05565797264569752,0.00496835131127166,0.957777789219909
8616,0.9364927322064188,0.07930540970013536,0.557002017595865,0.38250082154336934,0.9506828758557377,0.0025455526489974963
8617,0.7885336189785969,0.13872781152199004,0.9874950367069345,0.0117668509966292,0.000768120941236364,0.9926498235681829
8618,0.586031012989873,0.1858362743884991,0.3949856431280252,0.2260193954710283,0.8068250114441977,0.022103909673222764
8619,0.016831634109289118,0.9048448103938218,0.5803177472421193,0.3470745557245744,0.008187814075991007,0.6682482987000155
8620,0.9583015023884134,0.0888536889826241,0.05938239440512805,0.6894137352346855,0.9475509848376794,0.001262491268455084
8621,0.8806757093237894,0.1067500773753852,0.5068852694775937,0.40990272411088613,0.9295892279435478,0.0035685192897162914
8622,0.6100794297607821,0.33117438604662963,0.6672315934303171,0.23076707886436695,0.0371677539239663,0.7733721682945629
8623,0.062811223900748,0.7632517479459067,0.8238122919269901,0.10631240480199809,0.001785275488669607,0.9271509285003622
8624,0.46725234892790357,0.4799263739118287,0.4406578583651847,0.5256034572414461,0.3470363418656391,0.12229889153516077
8625,0.14455630891801108,0.8343097284089641,0.9272655648138604,0.017595143404292076,0.0002521790180796449,0.9892505195573644
8626,0.15728352609701723,0.38891284126046066,0.25899989693590664,0.3160385085325505,0.062372840460233794,0.3512104039161178
8627,0.1496074915369544,0.6522544424187273,0.34937343858708525,0.012782016624098926,0.0007349455766293249,0.9795344174031878
8628,0.09111736437416951,0.905905111432691,0.9225759062435793,0.06053484912851626,0.0008170407151568951,0.9629004389500692
8629,0.8569363613902842,0.10609629340983538,0.98438192925282,0.008300057445157568,0.0007987122446044326,0.9945390312623424
8630,0.08268666664212154,0.9003109991176743,0.46397096804651294,0.486941431093455,0.016367604996066053,0.4340652691366259
8631,0.45773291246174475,0.39827101974769197,0.3654693305758697,0.16172649245062778,0.04878323056807808,0.7078247356350901
8632,0.33025585251557077,0.1514907739274458,0.693010805216145,0.236062719217161,0.01891636272802776,0.7978025222610348
